1 osoba/noc,"460,- Kč",
1 osoba/noc,"560,- Kč",
Cena menu:,"95,- Kč",
Cena pronájmu posluchárny:,1.320 Kč/den,
při jednotlivém pronájmu.,300 Kč/hodina,
Cena pronájmu učebny PC:,1.320 Kč/den,
při jednotlivém pronájmu.,300 Kč/hodina,
Cena pronájmu odborné učebny:,480 Kč/den,
Cena pronájmu zasedací místnosti:,480 Kč/den,
